answer,prompt,llm_answer,llm_answer__1,llm_answer__2,llm_answer__3,llm_answer__4,llm_answer__5,fleek_score,selfcheck_nli_score,selfcheck_bert_score,lm_v_lm_score,lbhd_score
"['14 December 1972 UTC', 'December 1972']",when was the last time anyone was on the moon,"([""['"", 'The', ' last', ' time', ' anyone', ' was', ' on', ' the', ' moon', ' was', ' in', ' December', ' ', '197', '2', ' during', ' the', ' Apollo', ' ', '17', ' mission', ""']""], [-0.0036277466, -0.0093988, -3.1305768e-05, -5.6815352e-05, -0.002719641, -7.755679e-05, -9.253091e-06, -1.8624639e-06, -0.004225609, -3.261701e-05, -0.14336567, -0.23331717, -0.00053694757, -0.0028608663, -6.749814e-06, -0.21209744, -0.054040562, -5.8365e-05, -2.7968066e-05, -2.220075e-06, -1.4974867e-05, -0.05497493], [0.9963788257227211, 0.9906452306675984, 0.9999686947220204, 0.9999431862619615, 0.9972840538732491, 0.9999224462174501, 0.9999907469518097, 0.9999981375378344, 0.9957833063237324, 0.9999673835219289, 0.8664371808768678, 0.791902366015248, 0.9994631965605485, 0.997143222078296, 0.9999932502087799, 0.8088858758866235, 0.9473936775400774, 0.9999416367032035, 0.9999720323251027, 0.9999977799274644, 0.9999850252451228, 0.9465088766335809], 'The last time anyone was on the moon was in December 1972 during the Apollo 17 mission')","(None, None, None, ""['The last time anyone was on the moon was in December 1972 during the Apollo 17 mission']"")","(None, None, None, ""['The last time anyone was on the moon was in December 1972 during the Apollo 17 mission.']"")","(None, None, None, ""['The last time anyone was on the moon was in 1972 during the Apollo 17 mission']"")","(None, None, None, ""['The last time anyone was on the moon was in December 1972 during the Apollo 17 mission']"")","(None, None, None, ""['The last time anyone was on the moon was in December 1972 during NASA's Apollo 17 mission']"")",0,0.04917492910753936,0.1671818614006042,0.0,"{'avg': 0.9644255675958286, 'normalized_product': 0.9617922334970799, 'min': 0.791902366015248, 'concepts': [{'moon': {'avg': 0.9957833063237324, 'normalized_product': 0.9957833063237324, 'min': 0.9957833063237324}}, {'December 1972': {'avg': 0.9471255087157181, 'normalized_product': 0.9425366886943022, 'min': 0.791902366015248}}, {'Apollo 17 mission': {'avg': 0.9999741185502233, 'normalized_product': 0.9999741183329361, 'min': 0.9999416367032035}}]}"
"['Bobby Scott', 'Bob Russell']",who wrote he ain't heavy he's my brother lyrics,"([""['"", 'The', ' lyrics', ' for', ' ""', 'He', ' Ain', ""'t"", ' Heavy', ',', ' He', ""'s"", ' My', ' Brother', '""', ' were', ' written', ' by', ' Bobby', ' Scott', ' and', ' Bob', ' Russell', ""']""], [-0.006047059, -0.8066559, -0.15812393, -0.6385784, -0.011385554, -2.5583993e-05, -3.6431527e-05, -0.04993641, -2.4630364e-05, -0.0011049715, -6.9882217e-06, -0.0045717, -5.312004e-05, -4.429897e-05, -7.660316e-05, -0.0022238875, -8.363618e-05, -2.6968896e-06, -0.06560703, -0.00091241713, -0.0002974472, -0.0004724987, -0.00014621076, -0.012536493], [0.9939711876631986, 0.4463482062821967, 0.8537439709217193, 0.5280425560205464, 0.9886790161320372, 0.9999744163342675, 0.99996356913662, 0.9512899151030964, 0.9999753699393249, 0.9988956387562153, 0.9999930118027176, 0.9954387343135386, 0.9999468813708443, 0.9999557020111849, 0.9999233997739472, 0.9977785835057207, 0.9999163673174079, 0.9999973031140366, 0.93649880792803, 0.9990879989959398, 0.9997025970330327, 0.9995276129099315, 0.9998537999282723, 0.987541761474798], ""The lyrics for He Ain't Heavy, He's My Brother were written by Bobby Scott and Bob Russell"")","(None, None, None, '[\'Bob Russell wrote the lyrics for the song ""He Ain\'t Heavy, He\'s My Brother""\']')","(None, None, None, '[\'Bob Russell wrote the lyrics for ""He Ain\'t Heavy, He\'s My Brother""\']')","(None, None, None, '[\'Bob Russell wrote the lyrics for ""He Ain\'t Heavy, He\'s My Brother""\']')","(None, None, None, '[\'The lyrics for ""He Ain\'t Heavy, He\'s My Brother"" were written by Bob Russell\']')","(None, None, None, '[\'The lyrics for ""He Ain\'t Heavy, He\'s My Brother"" were written by Bob Russell\']')",0,0.9926792979240417,0.34820964336395266,0.0,"{'avg': 0.9406606117559376, 'normalized_product': 0.9239403709690162, 'min': 0.4463482062821967, 'concepts': [{'lyrics': {'avg': 0.8537439709217193, 'normalized_product': 0.8537439709217193, 'min': 0.8537439709217193}}, {""He Ain't Heavy"": {'avg': 0.9900197818539048, 'normalized_product': 0.9898264982781693, 'min': 0.9512899151030964}}, {""He's My Brother"": {'avg': 0.9990515458544464, 'normalized_product': 0.9990499095436748, 'min': 0.9954387343135386}}, {'written by': {'avg': 0.9999568352157222, 'normalized_product': 0.9999568343968614, 'min': 0.9999163673174079}}, {'Bobby Scott': {'avg': 0.9677934034619848, 'normalized_product': 0.9672872996555358, 'min': 0.93649880792803}}, {'Bob Russell': {'avg': 0.9996907064191018, 'normalized_product': 0.9996906931152406, 'min': 0.9995276129099315}}]}"
"['one', 'one season']",how many seasons of the bastard executioner are there,"([""['"", 'There', ' is', ' only', ' one', ' season', ' of', ' The', ' Bast', 'ard', ' Execution', 'er', ""']""], [-0.0005740016, -0.0072941314, -0.0002072357, -0.3560203, -0.00511385, -2.1008714e-06, -5.9153886e-06, -0.1305242, -1.9361265e-07, -1.1279553e-05, -1.867018e-05, -1.5570886e-05, -0.040627714], [0.9994261631074028, 0.9927324062142908, 0.9997927857718344, 0.7004584007853896, 0.9948992034702691, 0.9999978991308068, 0.9999940846288958, 0.8776352539186024, 0.9999998063873687, 0.9999887205106139, 0.9999813299942867, 0.9999844292352256, 0.9601865274181801], 'There is only one season of The Bastard Executioner')","(None, None, None, ""['There is only one season of The Bastard Executioner']"")","(None, None, None, ""['There is one season of The Bastard Executioner']"")","(None, None, None, '[""There is only one season of The Bastard Executioner""]')","(None, None, None, ""['There is 1 season of The Bastard Executioner']"")","(None, None, None, ""['There is one season of The Bastard Executioner']"")",0,0.002411462878808379,0.26001147031784055,0.0,"{'avg': 0.960496756367962, 'normalized_product': 0.95563136602098, 'min': 0.7004584007853896, 'concepts': [{'one season': {'avg': 0.997448551300538, 'normalized_product': 0.997445293395674, 'min': 0.9948992034702691}}, {'The Bastard Executioner': {'avg': 0.9755179080092194, 'normalized_product': 0.9742240384510402, 'min': 0.8776352539186024}}]}"
['2017'],when did the eagles win last super bowl,"([""['"", 'The', ' Philadelphia', ' Eagles', ' won', ' their', ' last', ' Super', ' Bowl', ' in', ' ', '201', '8', ""']""], [-0.003333372, -0.0006815765, -0.24193297, -2.577686e-06, -0.0036518606, -0.0122340135, -0.0004510494, -0.00050847256, -9.043079e-05, -0.14692794, -0.23387475, -2.0696643e-05, -0.0010312614, -0.24111614], [0.9966721775165317, 0.999318655720501, 0.7851088016310871, 0.9999974223173222, 0.9963547993334049, 0.9878405177945913, 0.9995490523074884, 0.9994916566902645, 0.9999095732987406, 0.8633561886217749, 0.7914609401705529, 0.999979303571174, 0.9989692701672935, 0.7857503640415638], 'The Philadelphia Eagles won their last Super Bowl in 2018')","(None, None, None, ""['The Philadelphia Eagles won their last Super Bowl on February 4, 2018']"")","(None, None, None, ""['The Philadelphia Eagles won their last Super Bowl in 2018']"")","(None, None, None, ""['The Eagles won their last Super Bowl in 2018']"")","(None, None, None, ""['The Philadelphia Eagles won their last Super Bowl in 2018']"")","(None, None, None, ""['The Philadelphia Eagles won their last Super Bowl in 2018']"")",0,0.0020314609399065377,0.26023269891738887,0.0,"{'avg': 0.9517780151353498, 'normalized_product': 0.9479527371882539, 'min': 0.7851088016310871, 'concepts': [{'Philadelphia Eagles': {'avg': 0.8925531119742047, 'normalized_product': 0.886062513522454, 'min': 0.7851088016310871}}, {'Super Bowl': {'avg': 0.9997006149945026, 'normalized_product': 0.9997005931561778, 'min': 0.9994916566902645}}, {'2018': {'avg': 0.9994742868692338, 'normalized_product': 0.9994741592812163, 'min': 0.9989692701672935}}]}"
['South Carolina'],who won last year's ncaa women's basketball,"([""['"", 'Stan', 'ford', ' won', ' last', ' year', ""'s"", ' NCAA', ' Women', '’s', ' Basketball', ' Tournament', ""']""], [-0.0023485303, -0.067735985, -5.6769813e-06, -0.19900946, -0.024010058, -9.729906e-06, -0.04547014, -3.5597102e-05, -0.007063324, -0.6874818, -6.134509e-05, -0.21346132, -0.0135612255], [0.9976542253396284, 0.9345071649198194, 0.9999943230348141, 0.819542140427606, 0.9762758903256226, 0.9999902701413353, 0.9555481348132715, 0.9999644035315693, 0.9929615626443475, 0.5028407295889394, 0.9999386567915716, 0.8077834046083814, 0.9865303136569411], ""Stanford won last year's NCAA Women’s Basketball Tournament"")","(None, None, None, ""['Stanford won last year's NCAA Women's Basketball']"")","(None, None, None, ""['Stanford won last year's NCAA Women's Basketball Tournament']"")","(None, None, None, ""['Stanford won last year's NCAA Women's Basketball']"")","(None, None, None, ""['Stanford University won last year's NCAA Women’s Basketball Tournament']"")","(None, None, None, ""['South Carolina Gamecocks won last year's NCAA Women's Basketball']"")",1,0.20066148858750238,0.416711688041687,0.0,"{'avg': 0.9081224255297524, 'normalized_product': 0.8930415046074779, 'min': 0.5028407295889394, 'concepts': [{'Stanford': {'avg': 0.9672507439773168, 'normalized_product': 0.9666963637850192, 'min': 0.9345071649198194}}, {'NCAA Women’s Basketball Tournament': {'avg': 0.8606977514329618, 'normalized_product': 0.833917604357519, 'min': 0.5028407295889394}}]}"
['During the last Ice Age'],when did the isle of wight become an island,"([""['"", 'The', ' Isle', ' of', ' W', 'ight', ' became', ' an', ' island', ' around', ' ', '700', '0', ' years', ' ago', ' due', ' to', ' rising', ' sea', ' levels', ' after', ' the', ' last', ' Ice', ' Age', ""']""], [-0.0029566623, -0.0034178398, -0.004506781, -1.7432603e-06, -1.473646e-05, -1.6240566e-06, -0.0018954371, -0.00018554063, -1.8908588e-05, -0.033743437, -8.971556e-05, -0.2306454, -1.6524515e-05, -0.47065225, -3.8934802e-05, -0.913666, -1.9816675e-06, -0.015265323, -0.00011594037, -4.3464544e-05, -0.8640425, -0.0002041364, -0.013706913, -0.35882476, -7.8987236e-05, -0.07363385], [0.9970477043213763, 0.9965879943658085, 0.9955033592984035, 0.9999982567412194, 0.9999852636485811, 0.9999983759447187, 0.9981063581064873, 0.9998144765815982, 0.9999810915907662, 0.96681952293725, 0.9999102884643205, 0.7940209759586585, 0.999983475621529, 0.6245947434716902, 0.9999610659559496, 0.4010512717994256, 0.9999980183344636, 0.98485060141896, 0.9998840663508249, 0.9999565364005696, 0.42145490256192686, 0.9997958844344171, 0.9863865989908397, 0.6984967451967399, 0.9999210158834096, 0.9290117892411529], 'The Isle of Wight became an island around 7000 years ago due to rising sea levels after the last Ice Age')","(None, None, None, ""['The Isle of Wight became an island around 7000 years ago, after the last Ice Age']"")","(None, None, None, ""['The Isle of Wight became an island around 7000 years ago when sea levels rose after the last ice age']"")","(None, None, None, ""['The Isle of Wight became an island around 7000 BC when rising sea levels separated it from the mainland']"")","(None, None, None, ""['The Isle of Wight became an island around 7,000 years ago as a result of rising sea levels']"")","(None, None, None, ""['The Isle of Wight became an island around 7000 years ago']"")",-1.0,0.1342470251431223,0.33063318729400637,0.0,"{'avg': 0.9111275370857732, 'normalized_product': 0.8857689687861868, 'min': 0.4010512717994256, 'concepts': [{'Isle of Wight': {'avg': 0.9988713139082306, 'normalized_product': 0.998869418395275, 'min': 0.9955033592984035}}, {'island': {'avg': 0.9999810915907662, 'normalized_product': 0.9999810915907662, 'min': 0.9999810915907662}}, {'7000 years ago': {'avg': 0.8546400652519568, 'normalized_product': 0.8391730995149707, 'min': 0.6245947434716902}}, {'rising sea levels': {'avg': 0.9948970680567847, 'normalized_product': 0.9948716193058748, 'min': 0.98485060141896}}, {'Ice Age': {'avg': 0.8492088805400748, 'normalized_product': 0.8357281705485219, 'min': 0.6984967451967399}}]}"
['Rihanna'],love yourself by justin bieber is about who,"([""['"", '""', 'Love', ' Yourself', '""', ' by', ' Justin', ' Bieber', ' is', ' about', ' his', ' ex', '-girl', 'friend', ""']""], [-0.002533214, -0.29619992, -2.8802491e-05, -0.00024048986, -0.00016325322, -4.7517467e-05, -1.6240566e-06, -0.0001246349, -0.0029850712, -0.16086233, -0.11721441, -0.4564237, -0.004558173, -1.9816675e-06, -0.66169715], [0.9974699918789544, 0.7436387449004297, 0.9999711979237877, 0.9997595390553684, 0.9998367601050818, 0.999952483661937, 0.9999983759447187, 0.9998753728666064, 0.9970193796951867, 0.8514092765542323, 0.8893944776485325, 0.6335453470594018, 0.9954521997043706, 0.9999980183344636, 0.5159749041765879], 'Love Yourself by Justin Bieber is about his ex-girlfriend')","(None, None, None, '[\'Justin Bieber’s song ""Love Yourself"" is about his ex-girlfriend\']')","(None, None, None, '[\'""Love Yourself"" by Justin Bieber is about his ex-girlfriend\']')","(None, None, None, '[\'""Love Yourself"" by Justin Bieber is about his past relationship with Selena Gomez\']')","(None, None, None, '[\'""Love Yourself"" by Justin Bieber is about his former girlfriend, Selena Gomez\']')","(None, None, None, '[\'""Love Yourself"" by Justin Bieber is about his ex-girlfriend\']')",0,0.004101866681594402,0.3986159563064575,0.0,"{'avg': 0.9471843690461407, 'normalized_product': 0.9399884738498043, 'min': 0.6335453470594018, 'concepts': [{'Love Yourself': {'avg': 0.9998558323614127, 'normalized_product': 0.9998558285367044, 'min': 0.9997595390553684}}, {'Justin Bieber': {'avg': 0.9999368744056626, 'normalized_product': 0.9999368725143235, 'min': 0.9998753728666064}}, {'ex-girlfriend': {'avg': 0.8763318550327454, 'normalized_product': 0.857562441181142, 'min': 0.6335453470594018}}]}"
['James I'],who was the ruler of england in 1616,"([""['"", 'King', ' James', ' I', ' was', ' the', ' ruler', ' of', ' England', ' in', ' ', '161', '6', ""']""], [-0.001310002, -0.9232006, -9.0883464e-07, -0.0017609752, -0.10142701, -3.7385154e-05, -4.723352e-06, -3.1281633e-07, -1.8624639e-06, -6.704273e-07, -5.7961847e-06, -4.00813e-06, -3.4121115e-06, -0.0012711856], [0.9986908556780592, 0.39724558004840926, 0.999999091165773, 0.9982405744070875, 0.9035471268402255, 0.9999626155448161, 0.999995276659155, 0.9999996871837189, 0.9999981375378344, 0.9999993295729247, 0.9999942038320978, 0.9999959918780326, 0.9999965878943212, 0.9987296220141694], 'King James I was the ruler of England in 1616')","(None, None, None, ""['In 1616, the ruler of England was King James I']"")","(None, None, None, ""['James I was the ruler of England in 1616']"")","(None, None, None, ""['James I was the ruler of England in 1616']"")","(None, None, None, ""['James I was the ruler of England in 1616']"")","(None, None, None, ""['King James I was the ruler of England in 1616']"")",0,0.001528772182064131,0.2636763691902161,0.0,"{'avg': 0.9415811835470329, 'normalized_product': 0.918018895362863, 'min': 0.39724558004840926, 'concepts': [{'King James I': {'avg': 0.7984950818737566, 'normalized_product': 0.7346795744075342, 'min': 0.39724558004840926}}, {'ruler of England': {'avg': 0.9999977004602361, 'normalized_product': 0.9999977004585673, 'min': 0.999995276659155}}, {'1616': {'avg': 0.999996289886177, 'normalized_product': 0.9999962898861325, 'min': 0.9999959918780326}}]}"
['a normally inaccessible mini-game'],what is the hot coffee mod in san andreas,"([""['"", 'The', ' Hot', ' Coffee', ' mod', ' in', ' San', ' Andreas', ' is', ' a', ' hidden', ' mini', '-game', ' that', ' allows', ' players', ' to', ' engage', ' in', ' explicit', ' sexual', ' activities', ""']""], [-0.0021421704, -0.008362561, -0.5264826, -5.1808798e-05, -0.02348422, -0.024125036, -0.004039814, -7.89631e-07, -0.63434553, -0.11397526, -0.7251269, -0.14504369, -0.0005190744, -0.15016313, -0.27560985, -0.014235201, -0.00034619053, -0.028095342, -1.7835755e-05, -0.65698, -0.05545514, -0.009851944, -0.16011302], [0.9978601224095228, 0.9916723079476413, 0.5906789742121594, 0.9999481925440526, 0.9767893882837771, 0.976163646529212, 0.9959683350713066, 0.9999992103693117, 0.5302824287152649, 0.8922800306173002, 0.48426311206708406, 0.8649845011123275, 0.9994810602958096, 0.8605675805845616, 0.7591090393858118, 0.9858656404074322, 0.999653869387027, 0.9722956617689912, 0.9999821644040562, 0.5184145848417706, 0.9460544627217173, 0.9901964274191221, 0.8520474851174153], 'The Hot Coffee mod in San Andreas is a hidden mini-game that allows players to engage in explicit sexual activities')","(None, None, None, ""['The hot coffee mod in San Andreas is a controversial mini-game that was disabled in the original release but could be accessed through a modification']"")","(None, None, None, ""['The hot coffee mod is a modification for the video game Grand Theft Auto: San Andreas that unlocks hidden explicit content involving sexual activity']"")","(None, None, None, '[\'The ""Hot Coffee"" mod in San Andreas unlocks a hidden mini-game allowing the player to engage in explicit activities with other characters\']')","(None, None, None, ""['The Hot Coffee mod in San Andreas unlocks a hidden minigame featuring sexual content']"")","(None, None, None, ""['The Hot Coffee mod in San Andreas is a controversial mini-game allowing players to engage in sexual activities with in-game characters.']"")",-1.0,0.4144114673137665,0.4133723974227905,1.0,"{'avg': 0.8679243486078262, 'normalized_product': 0.8448388802586733, 'min': 0.48426311206708406, 'concepts': [{'Hot Coffee mod': {'avg': 0.8558055183466631, 'normalized_product': 0.8324854431944996, 'min': 0.5906789742121594}}, {'San Andreas': {'avg': 0.9979837727203091, 'normalized_product': 0.9979817376205562, 'min': 0.9959683350713066}}, {'hidden mini-game': {'avg': 0.7829095578250738, 'normalized_product': 0.7480915704345819, 'min': 0.48426311206708406}}, {'explicit sexual activities': {'avg': 0.8182218249942034, 'normalized_product': 0.7860283949354869, 'min': 0.5184145848417706}}]}"
['54\xa0Mbit/s'],what is the maximum data rate for the 802.11a standard select one,"([""['"", 'The', ' maximum', ' data', ' rate', ' for', ' the', ' ', '802', '.', '11', 'a', ' standard', ' is', ' ', '54', ' Mbps', ""']""], [-0.0061204024, -0.28612182, -0.0029497705, -1.18755715e-05, -1.0087517e-05, -0.00021331508, -0.00022940392, -0.00014525715, -1.3856493e-06, -2.577686e-06, -3.7697225e-06, -2.4153549e-05, -4.4849444e-06, -0.0001975802, -0.0021616833, -1.8624639e-06, -0.0013325021, -0.036027014], [0.9938982891101399, 0.7511711027091958, 0.9970545757984234, 0.9999881244990143, 0.9999899125338788, 0.999786707670044, 0.9997706223910673, 0.9998547533993091, 0.99999861435166, 0.9999974223173222, 0.9999962302846054, 0.9999758467426946, 0.9999955150656573, 0.9998024393176823, 0.9978406514547083, 0.9999981375378344, 0.9986683852867313, 0.9646142350422078], 'The maximum data rate for the 802.11a standard is 54 Mbps')","(None, None, None, ""['The maximum data rate for the 802.11a standard is 54 Mbps']"")","(None, None, None, ""['The maximum data rate for the 802.11a standard is 54 Mbps']"")","(None, None, None, ""['54 Mbps is the maximum data rate for the 802.11a standard']"")","(None, None, None, ""['Maximum data rate for the 802.11a standard is 54 Mbps']"")","(None, None, None, ""['The maximum data rate for the 802.11a standard is 54 Mbps']"")",0,0.0013596412725746631,0.19237014055252077,0.0,"{'avg': 0.982935619197368, 'normalized_product': 0.9806387981588917, 'min': 0.7511711027091958, 'concepts': [{'maximum data rate': {'avg': 0.9990108709437723, 'normalized_product': 0.9990099125974581, 'min': 0.9970545757984234}}, {'80211a standard': {'avg': 0.999992725752388, 'normalized_product': 0.9999927257162177, 'min': 0.9999758467426946}}, {'54 Mbps': {'avg': 0.9993332614122828, 'normalized_product': 0.9993330402346595, 'min': 0.9986683852867313}}]}"
