answer,prompt,llm_answer,llm_answer__1,llm_answer__2,llm_answer__3,llm_answer__4,llm_answer__5,fleek_score,selfcheck_nli_score,selfcheck_bert_score,lm_v_lm_score,lbhd_score,ground_truth
"['14 December 1972 UTC', 'December 1972']",when was the last time anyone was on the moon,"(["" ['"", 'The', ' last', ' time', ' anyone', ' was', ' on', ' the', ' moon', ' was', ' in', ' December', ' ', '1', '9', '7', '2', ' during', ' the', ' A', 'pol', 'lo', ' ', '1', '7', ' mission', ""']"", '</s>'], array([ 0.        , -0.70598559, -0.70014103, -0.72294466, -0.81709849,
       -0.69696343, -0.69315886, -0.6931504 , -1.15072829, -0.69376774,
       -1.37657614, -0.99823241, -0.70658855, -0.71849003, -0.7121405 ,
       -0.6931802 , -0.69317353,         nan, -0.81433873, -0.69540804,
       -0.69314718, -0.69315076, -0.69320667, -0.6931473 , -0.69315791,
       -0.70065592, -1.00121799, -0.69416718]), [1.0, 0.493621826, 0.496515274, 0.485321045, 0.441711425, 0.4980955124, 0.499994158745, 0.4999983906746, 0.31640625, 0.49968981743, 0.25244140000000004, 0.368530275, 0.49332428, 0.487487793, 0.4905929565, 0.4999834895135, 0.4999868273735, -0.010742200000000035, 0.44293213, 0.4988708496, 0.5, 0.49999821186065, 0.4999702572825, 0.499999940395355, 0.499994635582, 0.49625968935, 0.36743164, 0.4994902611], 'The last time anyone was on the moon was in December 1972 during the Apollo 17 mission')","(None, None, None, "" ['The last time anyone was on the moon was in December 1972, during the Apollo 17 mission']"")","(None, None, None, "" ['The last time anyone was on the moon was in December 2013, when Chinese astronauts orbited it on the Chang'e 3 mission']"")","(None, None, None, "" ['The last time anyone was on the moon was in December 1972 during the Apollo 17 mission. Astronauts Eugene Cernan and Harrison Schmitt spent about 75 hours on the lunar surface.']"")","(None, None, None, "" ['The last time a human was on the Moon was in 1972 during the Apollo 17 mission']"")","(None, None, None, "" ['The last time anyone was on the moon was December 14, 1972 by Apollo 17 mission astronauts']"")",0,0.22738098157569767,0.2504336476325989,0.0,"{'avg': 0.43860473845595027, 'normalized_product': 0.014982302216260039, 'min': -0.010742200000000035, 'concepts': [{'The last time anyone was on the moon': {'avg': 0.46645798522744997, 'normalized_product': 0.4618471233576746, 'min': 0.31640625}}, {'December 1972': {'avg': 0.4733176035645001, 'normalized_product': 0.47065299169014563, 'min': 0.368530275}}, {'during the Apollo 17 mission': {'avg': 0.4363648348967228, 'normalized_product': 0.00024703663294037726, 'min': -0.010742200000000035}}]}",0.0
"['Bobby Scott', 'Bob Russell']",who wrote he ain't heavy he's my brother lyrics,"(["" ['"", 'The', ' song', ' ""', 'He', ' A', 'in', ""'"", 't', ' Heavy', ',', ' He', ""'"", 's', ' My', ' Brother', '""', ' was', ' written', ' by', ' Bobby', ' Scott', ' and', ' Bob', ' Russell', ""']"", '</s>'], array([-7.32688351e-04, -8.81148903e-01, -1.05900196e+00, -1.06961777e+00,
       -6.94310386e-01, -6.94103219e-01, -6.93164943e-01, -7.07416288e-01,
       -6.93147181e-01, -6.93210840e-01, -6.94484172e-01, -6.93149207e-01,
       -6.94118015e-01, -6.93147181e-01, -6.93173526e-01, -6.93147419e-01,
       -6.93345207e-01, -8.22988407e-01, -6.94351442e-01, -6.94086991e-01,
       -7.47033008e-01, -6.99518908e-01, -6.96215084e-01, -6.95517006e-01,
       -6.93350930e-01, -1.03741339e+00, -6.94911125e-01]), [0.9992675799999999, 0.41430664, 0.34680175999999996, 0.34313965, 0.4994187355, 0.499522209165, 0.499991118908, 0.492916107, 0.5, 0.49996817112, 0.49933195115, 0.499998986721, 0.4995148182, 0.5, 0.4999868273735, 0.49999988079071, 0.499900996685, 0.43911743000000003, 0.4993982315, 0.4995303154, 0.4737701415, 0.4968242645, 0.498468399, 0.49881649015, 0.49989813566, 0.35437011500000004, 0.49911880495], ""The song He Ain't Heavy, He's My Brother was written by Bobby Scott and Bob Russell"")","(None, None, None, ' [\'The song ""He Ain\'t Heavy, He\'s My Brother"" was written by Bobby Scott and Bob Russell\']')","(None, None, None, ' [\'The song ""He Ain\'t Heavy, He\'s My Brother"" was written by Bobby Scott and Bob Russell, it has been performed by many artists including The Hollies and Neil Diamond\']')","(None, None, None, ' [\'The lyrics ""He Ain\'t Heavy, He\'s My Brother"" were written by Bobby Scott and Bob Russell\']')","(None, None, None, "" ['The Hollies' song 'He Ain't Heavy, He's My Brother' was written by Bobby Scott and Bob Russell']"")","(None, None, None, ' [\'The song ""He Ain\'t Heavy, He\'s My Brother"" was written by Bobby Scott and Bob Russell\']')",0,0.07128310506232083,0.25044444799423216,0.0,"{'avg': 0.478595876231444, 'normalized_product': 0.47596748954109486, 'min': 0.34313965, 'concepts': [{""He Ain't Heavy"": {'avg': 0.4987354704061428, 'normalized_product': 0.49872970465931266, 'min': 0.492916107}}, {""He's My Brother"": {'avg': 0.4999002516283684, 'normalized_product': 0.499900220663728, 'min': 0.4995148182}}, {'written by Bobby Scott and Bob Russell': {'avg': 0.49524371110142856, 'normalized_product': 0.49516332354866566, 'min': 0.4737701415}}]}",0.0
"['one', 'one season']",how many seasons of the bastard executioner are there,"(["" ['"", 'There', ' are', ' ', '3', ' seasons', ' of', ' The', ' Bast', 'ard', ' Execut', 'ion', 'er', ""']"", '</s>'], array([ 0.        , -0.77767585, -0.9677318 , -2.16929798, -0.90862973,
       -0.6937935 , -0.6932236 , -0.78333743, -0.6931659 , -0.69314718,
       -0.6931616 , -0.6931473 , -0.69316149, -0.83283589, -0.71074186]), [1.0, 0.459472655, 0.37994384999999997, 0.11425780000000002, 0.40307617, 0.499676942825, 0.4999617934225, 0.456878662, 0.499990642071, 0.5, 0.499992787838, 0.499999940395355, 0.4999928474425, 0.43481445, 0.491279602], 'There are 3 seasons of The Bastard Executioner')","(None, None, None, "" ['There is only one season of The Bastard Executioner']"")","(None, None, None, "" ['There are only two seasons of The Bastard Executioner']"")","(None, None, None, "" ['There are 3 seasons of The Bastard Executioner as of 2021']"")","(None, None, None, "" ['There are 3 seasons of The Bastard Executioner']"")","(None, None, None, "" ['There is only one season of The Bastard Executioner television series as it was cancelled after its first season']"")",1,0.6017397098708898,0.3929596543312073,1.0,"{'avg': 0.44277034091619627, 'normalized_product': 0.41827223444217715, 'min': 0.11425780000000002, 'concepts': [{'The Bastard Executioner': {'avg': 0.4928091466244758, 'normalized_product': 0.49253644711551736, 'min': 0.456878662}}, {'3 seasons': {'avg': 0.4513765564125, 'normalized_product': 0.4487848798157197, 'min': 0.40307617}}]}",1.0
['2017'],when did the eagles win last super bowl,"(["" ['"", 'The', ' Philadelphia', ' E', 'agles', ' won', ' their', ' last', ' Super', ' Bowl', ' in', ' ', '2', '0', '1', '8', ""']"", '</s>'], array([ 0.        , -0.69672221, -0.72713503, -0.69314718, -0.69314873,
       -0.77066013, -0.76572575, -0.99690837, -0.69355281, -0.69338253,
       -0.8410107 , -0.88070705, -0.69314718, -0.69314718, -0.6931473 ,
       -0.70358507, -0.79300259, -0.69357762]), [1.0, 0.49821567535, 0.483291626, 0.5, 0.4999992251396, 0.46270752, 0.464996338, 0.36901855, 0.499797225, 0.49988234043, 0.43127441499999997, 0.414489745, 0.5, 0.5, 0.499999940395355, 0.494808197, 0.45248413, 0.49978482723], 'The Philadelphia Eagles won their last Super Bowl in 2018')","(None, None, None, "" ['The Philadelphia Eagles won their last Super Bowl in 2018']"")","(None, None, None, "" ['The Philadelphia Eagles won their last Super Bowl in 2018']"")","(None, None, None, "" ['The Philadelphia Eagles won their last Super Bowl (their first Super Bowl win) in 2018']"")","(None, None, None, "" ['The Philadelphia Eagles won their last Super Bowl in the year 2018']"")","(None, None, None, "" ['The Philadelphia Eagles won their last Super Bowl (Super Bowl LII) in 2018']"")",0,0.0012070388416759669,0.27704998254776003,0.0,"{'avg': 0.47456538648766367, 'normalized_product': 0.4728351455278761, 'min': 0.36901855, 'concepts': [{'The Philadelphia Eagles': {'avg': 0.4953766316224, 'normalized_product': 0.4953264258313754, 'min': 0.483291626}}, {'won their last Super Bowl': {'avg': 0.459280394686, 'normalized_product': 0.4565550855134433, 'min': 0.36901855}}, {'in 2018': {'avg': 0.4734287162325592, 'normalized_product': 0.4719931783959905, 'min': 0.414489745}}]}",1.0
['South Carolina'],who won last year's ncaa women's basketball,"(["" ['"", 'St', 'an', 'ford', ' University', ' won', ' the', ' ', '2', '0', '2', '1', ' NC', 'AA', ' Women', ""'"", 's', ' Basket', 'ball', ' Tour', 'nament', ""']"", '</s>'], array([-0.01450905, -1.0415556 , -0.69314718, -0.69314766, -1.41703546,
       -0.91500982, -0.87337133, -0.69835634, -0.69314718, -0.69314718,
       -0.69933465, -0.81868882, -0.69339278, -0.69314718, -0.72380965,
       -1.43430358, -0.69315231, -0.71304289, -0.69320929, -1.27942133,
       -0.69314897, -0.71425773, -0.69423687]), [0.9855957, 0.352905275, 0.5, 0.49999976158142, 0.24243165, 0.400512695, 0.417541505, 0.49740219115, 0.5, 0.5, 0.49691581725, 0.44100952, 0.49987721443, 0.5, 0.484901428, 0.23828125, 0.49999743700025, 0.49015045150000003, 0.49996894598, 0.27819824000000004, 0.49999910593035, 0.489555359, 0.49945545195], ""Stanford University won the 2021 NCAA Women's Basketball Tournament"")","(None, None, None, "" ['Baylor University won the 2021 NCAA Women's Basketball Tournament']"")","(None, None, None, "" ['Stanford won the 2021 NCAA Women’s Basketball Championship']"")","(None, None, None, "" ['Stanford women’s basketball team won last year’s NCAA Women’s Basketball Tournament']"")","(None, None, None, "" ['The South Carolina Gamecocks women’s basketball team won the 2022 NCAA women’s basketball championship']"")","(None, None, None, "" ['Baylor University won the 2020-2021 NCAA Women's Basketball Tournament']"")",0,0.7986413714010269,0.47835448384284973,1.0,"{'avg': 0.4389522362011589, 'normalized_product': 0.42720303149120165, 'min': 0.23828125, 'concepts': [{'Stanford University': {'avg': 0.39883417164535495, 'normalized_product': 0.3824254771419488, 'min': 0.24243165}}, {""2021 NCAA Women's Basketball Tournament"": {'avg': 0.45244161750755, 'normalized_product': 0.44087970502740326, 'min': 0.23828125}}]}",0.0
['During the last Ice Age'],when did the isle of wight become an island,"(["" ['"", 'The', ' Is', 'le', ' of', ' W', 'ight', ' became', ' an', ' island', ' about', ' ', '7', ',', '0', '0', '0', ' years', ' ago', ' due', ' to', ' rising', ' sea', ' levels', ""']"", '</s>'], array([-7.32688351e-04, -7.37959670e-01, -6.93173049e-01, -6.93147538e-01,
       -6.93163274e-01, -6.93148611e-01, -6.93147300e-01, -7.01898128e-01,
       -6.93152426e-01, -6.93162559e-01, -3.34795287e+00, -6.93147181e-01,
       -9.38914109e-01, -1.08720302e+00, -6.93434993e-01, -6.93147181e-01,
       -6.93147181e-01, -1.00321333e+00, -6.93509404e-01,             nan,
       -6.93156956e-01, -8.71181071e-01, -6.95161461e-01, -6.93593361e-01,
       -2.89281618e+00, -6.95409947e-01]), [0.9992675799999999, 0.478088379, 0.499987065792, 0.499999821186065, 0.499991953373, 0.49999928474425, 0.499999940395355, 0.4956436155, 0.49999737739565, 0.499992311001, 0.03515625, 0.5, 0.391052245, 0.33715819999999996, 0.49985611439, 0.5, 0.5, 0.36669922, 0.49981892109, -0.07470705, 0.499995112419, 0.41845703, 0.4989938736, 0.49977695942, 0.05541992000000001, 0.49886989595], 'The Isle of Wight became an island about 7,000 years ago due to rising sea levels')","(None, None, None, "" ['The Isle of Wight became an island about 7,000 years ago when the post-glacial melting raised the sea level and flooded its land bridge to mainland Europe']"")","(None, None, None, "" ['The Isle of Wight became an island during the last Ice Age, approximately 7,000 to 10,000 years ago']"")","(None, None, None, "" ['The Isle of Wight became an island after the last Ice Age, approximately 8000 years ago.']"")","(None, None, None, "" ['The Isle of Wight became an island in 7000 BC when melting glaciers caused sea levels to rise']"")","(None, None, None, "" ['The Isle of Wight became an island about 7,000 years ago as a result of the rising sea levels after the last Ice Age']"")",0,0.13502224004187155,0.4293251454830169,0.0,"{'avg': 0.42600478618649146, 'normalized_product': 0.0160448722558055, 'min': -0.07470705, 'concepts': [{'The Isle of Wight': {'avg': 0.4963444074151117, 'normalized_product': 0.49627590817878336, 'min': 0.478088379}}, {'became an island': {'avg': 0.4985444346322167, 'normalized_product': 0.49854020674815824, 'min': 0.4956436155}}, {'about 7': {'avg': 0.31584167375, 'normalized_product': 0.21941194365395753, 'min': 0.03515625}}, {'000 years ago': {'avg': 0.45550604703, 'normalized_product': 0.45084877543104374, 'min': 0.36669922}}, {'due to rising sea levels': {'avg': 0.36850318508780006, 'normalized_product': 5.539845007318216e-07, 'min': -0.07470705}}]}",0.0
['Rihanna'],love yourself by justin bieber is about who,"(["" ['"", 'Just', 'in', ' B', 'ie', 'ber', ""'"", 's', ' song', ' ""', 'Love', ' Your', 'self', '""', ' is', ' about', ' self', '-', 'love', ' and', ' self', '-', 'accept', 'ance', ""']"", '</s>'], array([ 0.        , -1.8609965 , -0.69314718, -0.69316375, -0.69317698,
       -0.6931473 , -1.66232582, -0.69314718, -0.92204455, -0.70315344,
       -0.69323492, -0.69315994, -0.69314897, -0.69337895, -0.69594153,
       -0.74176494, -0.95877605, -0.69914275, -1.51871026, -0.96644749,
       -1.01022857, -0.69400681, -2.21074319, -0.69317937, -0.71731693,
       -0.69377346]), [1.0, 0.15551758, 0.5, 0.4999917149545, 0.499985098839, 0.499999940395355, 0.189697265, 0.5, 0.39770508, 0.49502182, 0.49995613098, 0.499993622303, 0.49999910593035, 0.49988412857, 0.4986047745, 0.47627258299999997, 0.383361815, 0.4970111847, 0.21899415, 0.38043213, 0.36413574000000004, 0.49957036972, 0.10961915, 0.499983906746, 0.4880599975, 0.4996869564], ""Justin Bieber's song Love Yourself is about self-love and self-acceptance"")","(None, None, None, ' [\'themes of self-acceptance, self-love, and self-confidence in ""Love Yourself"" by Justin Bieber\']')","(None, None, None, ' [\'Justin Bieber\'s ""Love Yourself"" is about self-love and self-empowerment\']')","(None, None, None, "" ['Justin Bieber’s song “Love Yourself” is about self-empowerment through self-love']"")","(None, None, None, ' [\'the song ""Love Yourself"" by Justin Bieber is about the self-love and telling a past lover to value themselves\']')","(None, None, None, ' [\'Justin Bieber\'s song ""Love Yourself"" is about self-reflection and self-worth\']')",0,0.09723856863565743,0.4156930327415467,0.0,"{'avg': 0.4183506805208669, 'normalized_product': 0.38732622483758006, 'min': 0.10961915, 'concepts': [{'Justin Bieber': {'avg': 0.431098866837771, 'normalized_product': 0.3958474604949633, 'min': 0.15551758}}, {'song ': {'avg': 0.44636345, 'normalized_product': 0.4437033834949263, 'min': 0.39770508}}, {'Love Yourself': {'avg': 0.4999582469458375, 'normalized_product': 0.4999582448408426, 'min': 0.49988412857}}, {'self-love': {'avg': 0.36645571656666664, 'normalized_product': 0.3468453230871786, 'min': 0.21899415}}, {'self-acceptance': {'avg': 0.3683272916165, 'normalized_product': 0.3159916514908836, 'min': 0.10961915}}]}",1.0
['James I'],who was the ruler of england in 1616,"(["" ['"", 'J', 'ames', ' I', ' was', ' the', ' rul', 'er', ' of', ' England', ' in', ' ', '1', '6', '1', '6', ""']"", '</s>'], array([ 0.        , -1.84541987, -0.69315004, -0.69876289, -0.89838559,
       -0.69317317, -0.69319129, -0.69314718, -0.69421396, -0.69314956,
       -0.6968677 , -0.6932757 , -0.69314718, -0.6931473 , -0.69314754,
       -0.69314718, -0.73646073, -0.6946704 ]), [1.0, 0.157958985, 0.4999985694885, 0.4972000122, 0.40722656, 0.4999870061875, 0.4999779462815, 0.5, 0.49946689605, 0.4999988079071, 0.4981431961, 0.499935746195, 0.5, 0.499999940395355, 0.499999821186065, 0.5, 0.47880554200000003, 0.4992389679], 'James I was the ruler of England in 1616')","(None, None, None, "" ['King James I was the ruler of England in 1616']"")","(None, None, None, "" ['James I (VI of Scotland) was the ruler of England in 1616']"")","(None, None, None, "" ['King James I was the ruler of England in 1616']"")","(None, None, None, "" ['James I was the ruler of England in 1616']"")","(None, None, None, "" ['James I was the ruler of England in 1616']"")",0,0.0013637953903526067,0.3445712924003601,0.0,"{'avg': 0.46614565743043573, 'normalized_product': 0.450054293354505, 'min': 0.157958985, 'concepts': [{'James I': {'avg': 0.38505252222950004, 'normalized_product': 0.3398975824339621, 'min': 0.157958985}}, {'ruler of England': {'avg': 0.49986091255965, 'normalized_product': 0.4998608607005381, 'min': 0.49946689605}}, {'1616': {'avg': 0.4999999105930325, 'normalized_product': 0.4999999105930245, 'min': 0.499999821186065}}]}",0.0
['a normally inaccessible mini-game'],what is the hot coffee mod in san andreas,"(["" ['"", 'Hot', ' Coffee', ""'"", ' is', ' an', ' un', 'off', 'icial', ' mod', ' for', ' the', ' video', ' game', ' Grand', ' The', 'ft', ' Auto', ':', ' San', ' Andre', 'as', ' that', ' unlock', 's', ' a', ' sex', ' mini', '-', 'game', ""']"", '</s>'], array([-0.07264419, -1.90266922, -0.69315624, -1.08937772, -0.74170086,
       -2.1523482 , -1.94103913, -0.73464588, -0.69375533, -1.09556518,
       -0.79489282, -0.87293289, -1.51537146, -0.69363296, -1.38531828,
       -0.69314825, -0.69314718, -0.69315707, -0.69354566, -0.69317973,
       -0.69334318, -0.69314766, -1.80750783, -0.76921019, -0.69593006,
       -1.1670647 ,         nan, -1.18009036, -0.70657309, -0.69316077,
       -0.76447956, -0.69367088]), [0.92993165, 0.14916992, 0.499995470047, 0.33642578, 0.4763031, 0.11621094999999998, 0.14355469999999998, 0.479675293, 0.4996960163, 0.33435058500000003, 0.45162964, 0.41772461, 0.21972655000000002, 0.499757170675, 0.25024414, 0.4999994635582, 0.5, 0.4999950528145, 0.499800801275, 0.499983727932, 0.499902009965, 0.49999976158142, 0.1640625, 0.463378905, 0.4986104965, 0.31127930000000004, -0.12353515000000004, 0.307250975, 0.493331909, 0.4999932050705, 0.465576172, 0.4997382164], ""Hot Coffee' is an unofficial mod for the video game Grand Theft Auto: San Andreas that unlocks a sex mini-game"")","(None, None, None, "" ['Hot Coffee Mod is a controversial mod for the game Grand Theft Auto: San Andreas that allows access to a hidden sex mini-game']"")","(None, None, None, ' [\'In Grand Theft Auto: San Andreas, ""Hot Coffee"" is a controversial mini-game mod\']')","(None, None, None, ' There seems to be a misunderstanding in your question. I think you might be referring to the ""Hot Coffee"" mod in the video game ""Grand Theft Auto: San Andreas"". It was a controversial mod for the game that enabled an unused mini-game featuring sexual content. But to clarify, the mod itself isn\'t in the original game, it was created by a third party and added to the game.')","(None, None, None, "" ['Hot Coffee' is a mod for the video game Grand Theft Auto: San Andreas that unlocks sex scenes']"")","(None, None, None, ' [\'The ""Hot Coffee"" mod is a controversial modification for the game ""Grand Theft Auto: San Andreas"" that unlocks explicit sexual content\']')",0,0.11825646060751752,0.4122189104557037,0.0,"{'avg': 0.37891437526615934, 'normalized_product': 0.034956150320419765, 'min': -0.12353515000000004, 'concepts': [{'Hot Coffee': {'avg': 0.3245826950235, 'normalized_product': 0.2731012344667695, 'min': 0.14916992}}, {'unofficial mod': {'avg': 0.36431914857500003, 'normalized_product': 0.32750518873055656, 'min': 0.14355469999999998}}, {'video game': {'avg': 0.3597418603375, 'normalized_product': 0.33137579717019006, 'min': 0.21972655000000002}}, {'Grand Theft Auto: San Andreas': {'avg': 0.468740619640765, 'normalized_product': 0.45852137185971475, 'min': 0.25024414}}, {'sex mini-game': {'avg': 0.294260234767625, 'normalized_product': 1.659201549783327e-08, 'min': -0.12353515000000004}}]}",0.0
['54\xa0Mbit/s'],what is the maximum data rate for the 802.11a standard select one,"(["" ['"", 'The', ' maximum', ' data', ' rate', ' for', ' the', ' ', '8', '0', '2', '.', '1', '1', 'a', ' standard', ' is', ' ', '5', '4', ' M', 'b', 'ps', ""']"", '</s>'], array([ 0.        , -0.80092489, -0.69771617, -0.69314813, -0.69315851,
       -0.69454529, -0.69411467, -0.69416241, -0.6931473 , -0.69314718,
       -0.69314718, -0.69314718, -0.69314718, -0.69314718, -0.69314802,
       -0.69316721, -0.69392616, -0.69352992, -0.69314813, -0.69314754,
       -0.69738282, -0.70209826, -0.6981608 , -0.92173766, -0.69508979]), [1.0, 0.448913575, 0.4977207185, 0.49999952316285, 0.49999433755875, 0.49930143355, 0.49951648712, 0.49949264525, 0.499999940395355, 0.5, 0.5, 0.5, 0.5, 0.5, 0.4999995827675, 0.49998998642, 0.49961066245, 0.49980866909, 0.49999952316285, 0.499999821186065, 0.4978866577, 0.4955444335, 0.497499466, 0.39782715, 0.4990296364], 'The maximum data rate for the 802.11a standard is 54 Mbps')","(None, None, None, "" ['54 Mbps is the maximum data rate for the 802.11a standard']"")","(None, None, None, "" ['The maximum data rate for the 802.11a standard is 54 Mbps']"")","(None, None, None, "" ['The maximum data rate for the 802.11a standard is 54 Mbps']"")","(None, None, None, "" ['The 802.11a standard has a maximum data rate of 54 Mbps']"")","(None, None, None, "" ['The maximum data rate for the 802.11a standard is 54 Mbps']"")",0,0.0012981740466784686,0.20291590690612793,0.0,"{'avg': 0.49678924087816856, 'normalized_product': 0.4966584927337945, 'min': 0.448913575, 'concepts': [{'The maximum data rate': {'avg': 0.4866570385554, 'normalized_product': 0.4861505523406349, 'min': 0.448913575}}, {'54 Mbps': {'avg': 0.498185980309783, 'normalized_product': 0.4981831446436597, 'min': 0.4955444335}}, {'80211a standard': {'avg': 0.49999850136897933, 'normalized_product': 0.49999850135687507, 'min': 0.49998998642}}]}",0.0
