answer,prompt,llm_answer,llm_answer__1,llm_answer__2,llm_answer__3,llm_answer__4,llm_answer__5,selfcheck_nli_score,selfcheck_bert_score,fleek_score,lm_v_lm_score,lbhd_score
"['14 December 1972 UTC', 'December 1972']",when was the last time anyone was on the moon,"(["" ['"", 'The', ' last', ' time', ' anyone', ' was', ' on', ' the', ' moon', ' was', ' in', ' ', '2', '0', '1', '2', ',', ' during', ' the', ' Art', 'em', 'is', ' III', ' mission', ""']"", '</', 's', '>'], array([-0.70350027, -1.36790972, -0.71276275, -2.65828408, -1.42817483,
       -0.74090029, -0.69634902, -0.69330252, -0.79118324, -0.69750159,
               nan, -1.37079017, -0.92542657, -0.69384551, -1.44150156,
       -0.75557205,         nan, -1.32062732, -0.81193016, -3.4425689 ,
       -0.69317245, -0.6931678 ,         nan, -0.73061406, -1.74968826,
       -0.69359265, -0.69338646, -0.6935645 ]), [0.4948501585, 0.25463867, 0.490287781, 0.07006835, 0.23974610000000002, 0.47668457, 0.49840164185, 0.49992233515, 0.453308105, 0.49782753, -0.020507799999999965, 0.25390625, 0.396362305, 0.4996509552, 0.236572265, 0.4697418215, -0.015136700000000003, 0.266967775, 0.444000245, 0.03198242000000001, 0.499987363815, 0.4999896883965, -0.16210939999999996, 0.48161316, 0.173828125, 0.49977731705, 0.49988037348, 0.49979138375], 'The last time anyone was on the moon was in 2012, during the Artemis III mission')","(None, None, None, ""['The last time anyone was on the moon was in 2020, during the Artemis 1 mission']"")","(None, None, None, ""['the last crewed mission to the moon was in 2012']"")","(None, None, None, ""['the last person on the moon was Neil Armstrong on July 20, 1969']"")","(None, None, None, ""['Charlie Bates was the last person to publicly set foot on the Moon, for the TV show “In the Secret Service,” in 1965, but there have been 12 successful Apollo lunar missions since then. The most recent, Apollo 11, was in 1969 as Neil Armstrong and Buzz Aldrin became the first humans to step onto its surface.']"")","(None, None, None, '[Apollo 18 was the last Apollo mission to land humans on the moon and it occurred on May 4, 1975, but since no Apollo mission has landed humans on the moon since then, the last time someone was on the moon would be on the last Apollo mission.')",0.8101086392998695,0.5460603773593903,0,0.0,"{'avg': 0.29954681108807507, 'normalized_product': 1.1456759185451438e-05, 'min': -0.16210939999999996, 'concepts': [{'moon': {'avg': 0.453308105, 'normalized_product': 0.453308105, 'min': 0.453308105}}, {'2012': {'avg': 0.297707085425, 'normalized_product': 1.5350497114953007e-08, 'min': -0.015136700000000003}}, {'Artemis III mission': {'avg': 0.2702926464423, 'normalized_product': 3.2893186601912914e-07, 'min': -0.16210939999999996}}]}"
"['Bobby Scott', 'Bob Russell']",who wrote he ain't heavy he's my brother lyrics,"(["" ['"", 'The', ' lyrics', ' to', ' ""', 'He', ' A', 'in', ""'"", 't', ' Heavy', ',', ' He', ""'"", 's', ' My', ' Brother', '""', ' were', ' written', ' by', ' L', 'enn', 'on', ' and', ' McC', 'art', 'ney', ""']"", '</', 's', '>'], array([-0.70022171, -1.98271201, -1.12520796, -5.27324434, -1.07282462,
       -0.69647531, -0.74645345, -0.69532966, -0.70032544, -0.69314837,
       -0.6935106 , -0.96084792, -0.69381164, -0.69340709, -0.69315195,
       -0.69356283, -0.69326234, -0.6941519 , -0.71058657, -0.6943925 ,
       -0.69347363,         nan, -0.69619404, -0.69329251, -2.52780599,
       -0.69821831, -0.6932974 , -0.69315481, -1.68708275, -0.69361841,
       -0.69332053, -0.69353588]), [0.49647521975, 0.13769530000000002, 0.32458496000000003, 0.005126950000000019, 0.342041015, 0.49833869935, 0.4740448, 0.49890995025, 0.4964237213, 0.49999940395355, 0.49981832505, 0.38256836, 0.49966788292, 0.499870061875, 0.4999976158142, 0.49979221821, 0.499942421913, 0.4994978905, 0.491355896, 0.4993777275, 0.499836802485, -0.3588867, 0.4984788895, 0.49992734194, 0.079833985, 0.4974708557, 0.49992489815, 0.49999618530275, 0.18505860000000002, 0.49976444245, 0.49991333485, 0.49980568886], ""The lyrics to He Ain't Heavy, He's My Brother were written by Lennon and McCartney"")","(None, None, None, '[\'The lyrics to the song ""He Ain\'t Heavy, He\'s My Brother"" were written by Robbie Robertson and the other members of the rock group the Band\']')","(None, None, None, '[\'Derek and the Dominos wrote the lyrics for ""He Ain\'t Heavy, He\'s My Brother""]')","(None, None, None, '[\'The lyrics to ""He Ain\'t Heavy, He\'s My Brother"" were written by Robbie Robertson (the guitarist in The Band)]')","(None, None, None, '[\'Paul McCartney wrote the lyrics for ""He ain\'t heavy, he\'s my brother""]')","(None, None, None, '[\'Bob Dylan wrote the ""He ain\'t heavy, he\'s my brother"" lyrics\']')",0.9984516859054565,0.4553659081459045,0,0.0,"{'avg': 0.39881583601590387, 'normalized_product': 0.02561493662377427, 'min': -0.3588867, 'concepts': [{'Lennon': {'avg': 0.21317317714666664, 'normalized_product': 6.292905646795003e-11, 'min': -0.3588867}}, {'McCartney': {'avg': 0.49913064638425, 'normalized_product': 0.49912926415357345, 'min': 0.4974708557}}, {""He Ain't Heavy"": {'avg': 0.47858617998622144, 'normalized_product': 0.47669895565499476, 'min': 0.38256836}}, {""He's My Brother"": {'avg': 0.4997946818720333, 'normalized_product': 0.4997946530464969, 'min': 0.4994978905}}, {'lyrics': {'avg': 0.32458496000000003, 'normalized_product': 0.32458496000000003, 'min': 0.32458496000000003}}, {'written': {'avg': 0.4993777275, 'normalized_product': 0.4993777275, 'min': 0.4993777275}}]}"
"['one', 'one season']",how many seasons of the bastard executioner are there,"(["" ['"", 'The', ' Bast', 'ard', ' Execut', 'ion', 'er', ' is', ' a', ' TV', ' series', ' with', ' ', '1', ' season', ""']"", '</', 's', '>'], array([-0.70256024, -2.00966775, -0.72162502, -0.69355663, -0.6938417 ,
       -0.69532201, -0.69402495, -1.3858062 , -0.71595787, -1.90266922,
       -1.18207882, -1.78834732, -1.49884211, -1.44979172, -1.91917124,
       -0.73315189, -0.6937811 , -0.69334533, -0.69357142]), [0.49531555175, 0.13403320000000002, 0.485961914, 0.49979531765, 0.49965286255, 0.498913765, 0.4995613098, 0.25012207, 0.488723755, 0.14916992, 0.306640625, 0.16723633, 0.22338867, 0.23461915, 0.146728515, 0.480392456, 0.4996831417, 0.49990093708, 0.499787926675], 'The Bastard Executioner is a TV series with 1 season')","(None, None, None, ""['There are two seasons of The Bastard Executioner']"")","(None, None, None, ""['The Bastard Executioner was a canceled television series. It did not run for long enough to have any seasons']"")","(None, None, None, ""['There is only one season of the Bastard Executioner']"")","(None, None, None, ""['The Bastard Executioner is a television series that ran for 1 season']"")","(None, None, None, ""['the baste"")",0.47930455331224947,0.6047820910811424,0,0.0,"{'avg': 0.32746767171428576, 'normalized_product': 0.2895764629175177, 'min': 0.13403320000000002, 'concepts': [{'Bastard Executioner': {'avg': 0.49677703380000005, 'normalized_product': 0.4967471861984838, 'min': 0.485961914}}, {'TV series': {'avg': 0.2279052725, 'normalized_product': 0.21387276007009404, 'min': 0.14916992}}, {'1 season': {'avg': 0.1906738325, 'normalized_product': 0.18554061407158878, 'min': 0.146728515}}]}"
['2017'],when did the eagles win last super bowl,"(["" ['"", 'The', ' Philadelphia', ' E', 'agles', ' won', ' the', ' Super', ' Bowl', ' in', ' ', '2', '0', '1', '8', ""']"", '</', 's', '>'], array([-0.70010646, -0.82090565, -1.37705979, -0.69320583, -0.6931473 ,
       -0.73658821, -1.67919831, -1.1698136 , -0.69460641, -1.05233643,
       -0.83171355, -0.70112109, -0.69325376, -0.70560699, -1.2214588 ,
       -0.78367147, -0.69397197, -0.69336285, -0.69354232]), [0.4965324402, 0.44003296000000003, 0.25231933500000003, 0.499970674515, 0.499999940395355, 0.478744507, 0.18652344999999998, 0.3104248, 0.499270916, 0.34912109999999996, 0.435302735, 0.4960289, 0.4999467134475, 0.4938087465, 0.2947998, 0.456726075, 0.499587774275, 0.4998921752, 0.4998024702], 'The Philadelphia Eagles won the Super Bowl in 2018')","(None, None, None, ""['the Eagles won the Super Bowl on February 4th, 2018']"")","(None, None, None, ""['The Philadelphia Eagles won their last Super Bowl in January 2018']"")","(None, None, None, ""['The Philadelphia Eagles won the last Super Bowl in 2018']"")","(None, None, None, ""['Philadelphia Eagles won Super Bowl LII in 2018']"")","(None, None, None, ""['The Philadelphia Eagles won the last Super Bowl in 2018']"")",0.008631518512265757,0.36336557865142827,0,0.0,"{'avg': 0.40973532698984677, 'normalized_product': 0.3931466621221261, 'min': 0.18652344999999998, 'concepts': [{'Philadelphia Eagles': {'avg': 0.41742998330345166, 'normalized_product': 0.39806592709661215, 'min': 0.25231933500000003}}, {'Super Bowl': {'avg': 0.404847858, 'normalized_product': 0.39368270757694807, 'min': 0.3104248}}, {'2018': {'avg': 0.446146039986875, 'normalized_product': 0.43589226775800943, 'min': 0.2947998}}]}"
['South Carolina'],who won last year's ncaa women's basketball,"(["" ['"", 'U', 'Conn', ' won', ' last', ' year', '’', 's', ' NC', 'AA', ' Women', '’', 's', ' Basket', 'ball', ' Championship', ""']"", '</', 's', '>'], array([-0.70491198,         nan, -0.81668405, -0.78527639, -0.82319692,
       -0.69443165, -0.76677638, -0.69315469, -0.70256794, -0.69314766,
       -0.70257564, -0.71097483, -0.69314909, -0.70033697, -0.69315505,
       -1.28161768, -0.69993361, -0.69352443, -0.69338253, -0.69358024]), [0.494152069, -0.4296875, 0.44189453, 0.4559936525, 0.43902588, 0.4993581772, 0.46450805500000003, 0.4999962449074, 0.495311737, 0.49999976158142, 0.4953079225, 0.491165161, 0.4999990463257, 0.49641799925, 0.4999960660935, 0.27758789, 0.49661827085, 0.4998114109, 0.49988234043, 0.49978351593], 'UConn won last year’s NCAA Women’s Basketball Championship')","(None, None, None, ""['UCLA won last year’s NCAA Women’s Basketball Tournament']"")","(None, None, None, ""['Baylor won last year’s NCAA Women’s Basketball Championship']"")","(None, None, None, ""['Baylor won last year’s NCAA Women’s Basketball Tournament']"")","(None, None, None, ""['UConn, University of Connecticut won last year’s NCAA Women’s Basketball National Championship']"")","(None, None, None, ""['The University of Connecticut won last year’s NCAA Women’s Basketball Championship']"")",0.5999765776912682,0.34563735127449036,0,0.0,"{'avg': 0.39710540949620154, 'normalized_product': 0.0024083329059292123, 'min': -0.4296875, 'concepts': [{'UConn': {'avg': 0.006103515000000004, 'normalized_product': 6.647514798780085e-16, 'min': -0.4296875}}, {'won': {'avg': 0.4559936525, 'normalized_product': 0.4559936525, 'min': 0.4559936525}}, {'NCAA': {'avg': 0.49765574929071, 'normalized_product': 0.49765022898465444, 'min': 0.495311737}}, {'Basketball': {'avg': 0.49820703267175004, 'normalized_product': 0.49820382050221773, 'min': 0.49641799925}}, {'Championship': {'avg': 0.27758789, 'normalized_product': 0.27758789, 'min': 0.27758789}}]}"
['During the last Ice Age'],when did the isle of wight become an island,"(["" ['"", 'The', ' Is', 'le', ' of', ' W', 'ight', ' became', ' an', ' island', ' around', ' ', '1', '0', ',', '0', '0', '0', ' years', ' ago', ""']"", '</', 's', '>'], array([-0.70575378, -1.01089926, -0.70835315, -0.69315338, -0.69327951,
       -0.69553612, -0.69318032, -0.79320494, -0.70784977, -0.69526085,
               nan, -0.69525129,         nan,         nan, -0.90878116,
       -0.77442661, -0.69375629, -0.69360791, -0.79536594, -0.69786563,
               nan, -0.69351346, -0.69330491, -0.69351513]), [0.493736267, 0.3638916, 0.492454529, 0.4999969005585, 0.499933838845, 0.49880695345, 0.499983429909, 0.452392578, 0.492702484, 0.4989442825, -0.01953125, 0.4989490509, -0.078125, -0.08837890000000004, 0.40301513499999997, 0.4609680175, 0.499695539475, 0.49976968765, 0.451416015, 0.4976463318, -0.0473633, 0.49981689453, 0.499921143055, 0.499816060065], 'The Isle of Wight became an island around 10,000 years ago')","(None, None, None, ""['The Isle of Wight became an island about 7 million years ago due to erosion and uplift']"")","(None, None, None, ""['the Isle of Wight became an island about 9,000 years ago']"")","(None, None, None, ""['The Isle of Wight became an island around 12,000 years ago']"")","(None, None, None, ""['The Isle of Wight became an island around 6 million years ago due to tectonic plate movement']"")","(None, None, None, ""['The Isle of Wight separating from the mainland was completed around 12500 years ago during the last glaciation']"")",0.7339301526546478,0.3763395011425018,0,1.0,"{'avg': 0.4095154104132812, 'normalized_product': 9.236213794362578e-05, 'min': -0.078125, 'concepts': [{'Isle of Wight': {'avg': 0.4982351303525, 'normalized_product': 0.49822649437656663, 'min': 0.492454529}}, {'became': {'avg': 0.452392578, 'normalized_product': 0.452392578, 'min': 0.452392578}}, {'an island': {'avg': 0.49582338324999997, 'normalized_product': 0.4958135610946394, 'min': 0.492702484}}, {'around': {'avg': 0.23970890045, 'normalized_product': 7.06363257042721e-16, 'min': -0.01953125}}, {'10': {'avg': 0.07883707833333331, 'normalized_product': 7.386529762076106e-21, 'min': -0.08837890000000004}}, {'000 years ago': {'avg': 0.4829440114833334, 'normalized_product': 0.48241695203476936, 'min': 0.451416015}}]}"
['Rihanna'],love yourself by justin bieber is about who,"(["" ['"", 'Love', ' Your', 'self', ""'"", ' by', ' Justin', ' B', 'ie', 'ber', ' is', ' about', ' self', '-', 'love', ' and', ' self', '-', 'accept', 'ance', ']', '</', 's', '>'], array([-0.70183656, -1.68444773, -0.7814689 , -0.69319642, -2.29190018,
       -0.76225341, -0.69344215, -0.6932534 , -0.69324374, -0.69319022,
       -0.70036386, -0.76533204,         nan, -0.70634887, -0.7384066 ,
       -1.02781441, -3.11375934, -0.69405549, -1.62816696, -0.69316685,
       -1.11361688, -0.69455675, -0.69343714, -0.69368186]), [0.4956741335, 0.185546875, 0.457733155, 0.4999753832815, 0.10107421999999999, 0.46661377, 0.49985253811, 0.49994689226, 0.4999517202375, 0.499978482723, 0.49640464785, 0.46517944499999997, -0.009765600000000041, 0.4934425355, 0.477874755, 0.35778808500000003, 0.04443360000000002, 0.499546051025, 0.19628905000000002, 0.4999901652335, 0.32836914, 0.4992957115, 0.4998550415, 0.499732732775], ""Love Yourself' by Justin Bieber is about self-love and self-acceptance]</s>"")","(None, None, None, ""['Love Yourself by Justin Bieber is about loving oneself']"")","(None, None, None, ""['Love yourself is a song by Justin Bieber about self-love']"")","(None, None, None, ""['Love yourself by Justin Bieber refers to self-love and respect']"")","(None, None, None, ""['self-love and acceptance']"")","(None, None, None, '[\'Justice Bieber is about the idea of ""loving yourself""]')",0.23928873520344496,0.5389118015766143,0,0.0,"{'avg': 0.4083538791188333, 'normalized_product': 0.3584932512516159, 'min': 0.04443360000000002, 'concepts': [{'Love Yourself': {'avg': 0.3810851377605, 'normalized_product': 0.3488763625992499, 'min': 0.185546875}}, {'by Justin Bieber': {'avg': 0.49326868066609997, 'normalized_product': 0.4930835810277849, 'min': 0.46661377}}, {'self-love': {'avg': 0.3205172301666666, 'normalized_product': 6.17803300336878e-11, 'min': -0.009765600000000041}}, {'self-acceptance': {'avg': 0.310064716564625, 'normalized_product': 0.2160409814524675, 'min': 0.04443360000000002}}]}"
['James I'],who was the ruler of england in 1616,"(["" ['"", 'J', 'ames', ' I', ' was', ' the', ' rul', 'er', ' of', ' England', ' in', ' ', '1', '6', '1', '6', ""']"", '</', 's', '>'], array([-0.6973177 , -1.12370477, -0.70255254, -0.70251403, -0.82605098,
       -0.69332637, -0.69352634, -0.69314921, -0.69323015, -0.6934152 ,
       -0.69430752, -0.69343738, -0.69315278, -0.69315004, -0.69318342,
       -0.69316089, -0.69491208, -0.69344716, -0.69330968, -0.69346814]), [0.49791908265, 0.32507324000000004, 0.4953193665, 0.49533844, 0.43777466, 0.49991041422, 0.49981045723, 0.499998986721, 0.499958515167, 0.49986600876, 0.499420166, 0.4998549223, 0.4999971985817, 0.4999985694885, 0.499981880188, 0.499993145466, 0.4991183281, 0.499850034715, 0.49991875887, 0.4998395443], 'James I was the ruler of England in 1616')","(None, None, None, ""['Queen Elizabeth I was the ruler of England in 1616']"")","(None, None, None, ""['The monarch of England in 1616 was King James VI']"")","(None, None, None, ""['William Shakespeare, commonly misperceived to be a regal figure of Elizabeth I, was the primary writer of plays that portrayed regal figures, including Queen Elizabeth I during 1616']"")","(None, None, None, ""['James I was the ruler of England in 1616']"")","(None, None, None, ""['Jacob"")",0.5818181202048436,0.5389118015766143,0,1.0,"{'avg': 0.4809461694270769, 'normalized_product': 0.4780117777643714, 'min': 0.32507324000000004, 'concepts': [{'James I': {'avg': 0.4385770155, 'normalized_product': 0.43045014017790945, 'min': 0.32507324000000004}}, {'ruler': {'avg': 0.4999047219755, 'normalized_product': 0.49990471308796414, 'min': 0.49981045723}}, {'England': {'avg': 0.49986600876, 'normalized_product': 0.49986600876, 'min': 0.49986600876}}, {'1616': {'avg': 0.499987512827, 'normalized_product': 0.49998751279527254, 'min': 0.499981880188}}]}"
['a normally inaccessible mini-game'],what is the hot coffee mod in san andreas,"(["" ['"", 'The', ' Hot', ' Coffee', ' Mod', ' in', ' San', ' Andre', 'as', ' is', ' a', ' mod', ' that', ' adds', ' a', ' romantic', ' element', ' to', ' the', ' game', ',', ' allowing', ' players', ' to', ' interact', ' with', ' characters', ' in', ' a', ' more', ' intimate', ' way', ""']"", '</', 's', '>'], array([-0.71589543, -1.38727144, -1.02237037, -0.70355423, -1.18009036,
       -1.34141809, -0.88528236, -0.98539696, -0.69316697, -1.19087535,
       -0.73878984, -2.34650433, -0.76710492, -3.0345625 ,         nan,
               nan,         nan, -0.71032265, -0.72437623, -0.70162879,
       -2.62067277, -1.49448004, -1.60117142, -0.70445662,         nan,
       -0.90772159,         nan, -0.96548534, -0.94172748, -1.12671341,
       -0.90454963, -0.76749932, -0.9229658 , -0.69512515, -0.69355711,
       -0.69362604]), [0.4887542725, 0.24975585, 0.35974121000000003, 0.494823456, 0.307250975, 0.26147461, 0.412597655, 0.373291015, 0.499990105629, 0.30395508, 0.47769165, 0.095703125, 0.46435547, 0.04809570000000002, -0.23583984999999996, -0.3359375, -0.08300779999999996, 0.4914855955, 0.48462677, 0.49577713, 0.07275389999999998, 0.224365235, 0.20166014999999998, 0.494377136, -0.20507810000000004, 0.403442385, -0.04101560000000004, 0.38079834, 0.38995361500000003, 0.32409668, 0.40472412, 0.46417236500000003, 0.397338865, 0.4990119934, 0.49979507923, 0.49976062775], 'The Hot Coffee Mod in San Andreas is a mod that adds a romantic element to the game, allowing players to interact with characters in a more intimate way')","(None, None, None, ""['The Hot Coffee Mod in San Andreas is a mod that adds sexual content to the game']"")","(None, None, None, ""['Hot Coffee is a mod for Grand Theft Auto III: San Andreas which allows characters to engage in sexual acts such as kissing and intercourse']"")","(None, None, None, ""['The Hot Coffee mod in San Andreas is a highly modded game modification that adds sexual activity to the game']"")","(None, None, None, ""['The Hot Coffee Mod in San Andreas is a mod that adds a romance system and improves mission objectives']"")","(None, None, None, ""['Hot Coffee is a mod that allows the virtual prostitute to perform sexual acts on the player character (PC) while they are in their vehicle']"")",0.6067728526890278,0.5121571004390717,0,0.0,"{'avg': 0.26982475806033335, 'normalized_product': 1.2903236904230935e-05, 'min': -0.3359375, 'concepts': [{'Hot Coffee Mod': {'avg': 0.3872718803333333, 'normalized_product': 0.37958692652108855, 'min': 0.307250975}}, {'San Andreas': {'avg': 0.428626258543, 'normalized_product': 0.42544677315346724, 'min': 0.373291015}}, {'romantic element': {'avg': -0.20947264999999998, 'normalized_product': 1.0000000000000024e-30, 'min': -0.3359375}}, {'interact': {'avg': -0.20507810000000004, 'normalized_product': 1.0000000000000024e-30, 'min': -0.20507810000000004}}, {'characters': {'avg': -0.04101560000000004, 'normalized_product': 1.0000000000000024e-30, 'min': -0.04101560000000004}}, {'intimate way': {'avg': 0.4344482425, 'normalized_product': 0.43343021578213003, 'min': 0.40472412}}]}"
['54\xa0Mbit/s'],what is the maximum data rate for the 802.11a standard select one,"(["" ['"", 'The', ' maximum', ' data', ' rate', ' for', ' the', ' ', '8', '0', '2', '.', '1', '1', 'a', ' standard', ' is', ' ', '5', '4', ' M', 'b', 'ps', ""']"", '</', 's', '>'], array([-0.79381225, -1.18566806, -0.71021399, -0.69359622, -0.69337072,
       -0.6961443 , -0.71254492, -0.69522644, -0.69317162, -0.69314825,
       -0.69315803, -0.69331921, -0.69320011, -0.69315123, -0.69345932,
       -0.6936561 , -0.72104431, -0.69779281, -0.71817707, -0.69438677,
       -0.8128241 , -0.72896792, -0.70661948, -0.70971743, -0.69739432,
       -0.6936518 , -0.69370571]), [0.45211792, 0.30554199000000004, 0.4915390015, 0.49977552891, 0.49988824129, 0.498503685, 0.4903945925, 0.49896144865, 0.499987781048, 0.4999994635582, 0.4999945759775, 0.4999139905, 0.4999735355375, 0.499997973442, 0.49984395504, 0.499745607375, 0.48624420150000003, 0.4976825715, 0.487640381, 0.49938058855, 0.443603515, 0.482406616, 0.493309021, 0.491783142, 0.49788093565, 0.49974775315, 0.49972081185], 'The maximum data rate for the 802.11a standard is 54 Mbps')","(None, None, None, ""['The maximum data rate for the 802.11a standard is 54 Mbps']"")","(None, None, None, ""['The maximum data rate for the 802.11a standard is 54 Mbps']"")","(None, None, None, '[54 Mbps]')","(None, None, None, ""['The maximum data rate for the 802.11a standard is 54 Mbps']"")","(None, None, None, ""['11 Mbps']"")",0.22215368915349246,0.4537173464894295,0,0.0,"{'avg': 0.48376966403453503, 'normalized_product': 0.48132107195958374, 'min': 0.30554199000000004, 'concepts': [{'80211a standard': {'avg': 0.4999261924201, 'normalized_product': 0.49992618405882006, 'min': 0.499745607375}}, {'maximum data rate': {'avg': 0.4970675905666666, 'normalized_product': 0.49705215817991455, 'min': 0.4915390015}}, {'54 Mbps': {'avg': 0.48126802431, 'normalized_product': 0.4808523269553839, 'min': 0.443603515}}]}"
